,aspect ratio,Budget,Cumulative Worldwide Gross,director,genres,year,rating,votes,synopsis,box office
Arrival,2.39 : 1,"$47,000,000 (estimated)","$203,388,186",[<Person id:0898288[http] name:_Denis Villeneuve_>],"['Drama', 'Mystery', 'Sci-Fi']",2016,7.9,703520,,
High Noon,1.37 : 1,"$730,000 (estimated)",,[<Person id:0003593[http] name:_Fred Zinnemann_>],"['Drama', 'Thriller', 'Western']",1952,8.0,105685,,
Mars Attacks!,2.35 : 1,"$70,000,000 (estimated)","$101,371,017",[<Person id:0000318[http] name:_Tim Burton_>],"['Comedy', 'Sci-Fi']",1996,6.4,231220,,
Dracula (1992),1.85 : 1,"$40,000,000 (estimated)",,[<Person id:0000338[http] name:_Francis Ford Coppola_>],"['Drama', 'Fantasy', 'Horror', 'Romance']",1992,7.4,221740,,
Her,1.85 : 1,"$23,000,000 (estimated)","$47,351,251",[<Person id:0005069[http] name:_Spike Jonze_>],"['Drama', 'Romance', 'Sci-Fi']",2013,8.0,621165,,
The Shining,1.33 : 1 (Full Screen),"$19,000,000 (estimated)","$17,469,946",[<Person id:0000040[http] name:_Stanley Kubrick_>],"['Drama', 'Horror']",1980,8.4,1030173,,
Bruce Almighty,1.85 : 1,"$81,000,000 (estimated)","$484,572,835",[<Person id:0001723[http] name:_Tom Shadyac_>],"['Comedy', 'Fantasy']",2003,6.8,409661,,
Pacific Rim,1.85 : 1,"$190,000,000 (estimated)","$411,002,906",[<Person id:0868219[http] name:_Guillermo del Toro_>],"['Action', 'Adventure', 'Sci-Fi']",2013,6.9,507101,,
Godfather,1.85 : 1,"$6,000,000 (estimated)","$245,066,411",[<Person id:0000338[http] name:_Francis Ford Coppola_>],"['Crime', 'Drama']",1972,9.2,1870393,,
Napoleon Dynamite,1.85 : 1,"$400,000 (estimated)","$46,118,097",[<Person id:0381478[http] name:_Jared Hess_>],['Comedy'],2004,6.9,223985,,
North by Northwest,1.66 : 1 (intended & European theatrical ratio),"$3,101,000 (estimated)","$22,213,000",[<Person id:0000033[http] name:_Alfred Hitchcock_>],"['Action', 'Adventure', 'Mystery', 'Thriller']",1959,8.3,331143,,
Fight Club,2.39 : 1,"$63,000,000 (estimated)","$71,000,000",[<Person id:0000399[http] name:_David Fincher_>],['Drama'],1999,8.8,2140633,,
In The Mouth of Madness,2.35 : 1,"$8,000,000 (estimated)",,[<Person id:0000118[http] name:_John Carpenter_>],"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",1994,7.1,71763,,
Face/Off,2.39 : 1,"$80,000,000 (estimated)","$128,000,000, 22 Mar 1998",[<Person id:0000247[http] name:_John Woo_>],"['Action', 'Crime', 'Sci-Fi', 'Thriller']",1997,7.3,381980,,
Roma,2.20 : 1 (70 mm prints),,,[<Person id:0190859[http] name:_Alfonso Cuarón_>],['Drama'],2018,7.7,160948,,
Avatar,1.85 : 1 (3-D version),"$350,000,000 (estimated)",,[<Person id:0000116[http] name:_James Cameron_>],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2022,7.8,275381,,
Austin Powers,2.39 : 1,"$17,000,000 (estimated)","$67,683,989",[<Person id:0005366[http] name:_Jay Roach_>],"['Adventure', 'Comedy']",1997,7.0,244169,,
Jagten,2.35 : 1,"$3,800,000 (estimated)","$18,309,793",[<Person id:0899121[http] name:_Thomas Vinterberg_>],['Drama'],2012,8.3,334636,,
Avatar: The Way of Water,1.85 : 1 (3-D version),"$350,000,000 (estimated)",,[<Person id:0000116[http] name:_James Cameron_>],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2022,7.8,275381,,
No Country For Old Men,2.39 : 1,"$25,000,000 (estimated)","$171,627,166","[<Person id:0001053[http] name:_Ethan Coen_>, <Person id:0001054[http] name:_Joel Coen_>]","['Crime', 'Drama', 'Thriller']",2007,8.2,982132,,
Sing Street,2.39 : 1,,,[<Person id:0138809[http] name:_John Carney_>],"['Comedy', 'Drama', 'Music', 'Romance']",2016,7.9,95926,,
